,adm1_area,cartodb_id,gid_1,iso,wdpa_area
305,43379633.7072319,1073,GUM.13_1,GUM,19000385.875221
306,2468250004.86808,2829,SRB.24_1,SRB,247939749.251869
307,124691689912.682,538,COD.3_1,COD,26682692172.0741
308,417067803.63122,1934,MNE.13_1,MNE,1315402.07582338
309,15205241243.7509,1714,LVA.4_1,LVA,4634017345.06434
310,4342750884.20381,3133,TUR.14_1,TUR,0.0
311,16988664289.0118,2730,SEN.6_1,SEN,3149210840.08099
312,5043216.54267876,2906,SYC.9_1,SYC,0.0
313,2734643.44773131,2196,NRU.7_1,NRU,0.0
314,1331648929.32351,1935,MNE.14_1,MNE,105594089.696913
315,9065785194.18284,795,DZA.48_1,DZA,1815502.20979202
316,3917098990.86,797,ECU.2_1,ECU,136003103.289666
317,125249734.293885,702,DMA.2_1,DMA,14933332.7607678
318,35351936518.1431,1083,GUY.4_1,GUY,102668169.501951
319,10603404606.0147,1408,JPN.9_1,JPN,2649141010.31828
320,4026666755.60172,2807,SRB.2_1,SRB,198202807.918658
321,1906484206.61827,182,BDI.7_1,BDI,0.0
322,4094219175.4844,90,ARE.3_1,ARE,1261929432.31143
323,156995123.607667,2008,MUS.9_1,MUS,8362069.15423678
324,20829468229.4974,227,BGD.4_1,BGD,4269493563.51697
325,4300946.0052336,963,GGY.4_1,GGY,0.0
326,31042926878.5582,226,BGD.3_1,BGD,196950077.125678
327,31111586394.1335,225,BGD.2_1,BGD,1397469751.09468
328,1589458378.91042,91,ARE.4_1,ARE,208177903.436356
329,2434322870.50412,92,ARE.5_1,ARE,3581279.21043521
330,20672011567.1597,3314,UKR.10_1,UKR,2743908023.9843
331,2522914155.08314,93,ARE.6_1,ARE,108678271.3302
332,928978377.333474,3494,VNM.31_1,VNM,0.0
333,50393895.7290662,1940,MNE.19_1,MNE,1054460.05475699
334,4042726939.26851,1085,GUY.6_1,GUY,0.0
335,8206507563.91047,796,ECU.1_1,ECU,378001359.442149
